0,0,255
32,32,32
64,64,64
96,96,96
128,128,128
160,160,160
192,192,192
224,224,224
0,42,42
32,74,74
64,106,106
96,138,138
128,170,170
160,202,202
192,234,234W
224,255,255
0,84,84
32,116,116
64,148,148
96,180,180
128,212,212
160,244,244
192,255,255
224,255,255
0,126,126
32,158,158
64,190,190
96,222,222
128,255,255
160,255,255
192,255,255
224,255,255
0,168,168
32,200,200
64,232,232
96,255,255
128,255,255
160,255,255
192,255,255
224,255,255
0,210,210
32,242,242
64,255,255
96,255,255
128,255,255
160,255,255
192,255,255
224,255,255
